model,ticker,horizon,mean_forecast,mean_ci90_lower,mean_ci90_upper,mean_ci90_width,mean_ci95_lower,mean_ci95_upper,mean_ci95_width
ARIMAX,HDFCBANK.NS,12,-0.00475,-0.08116,0.07165,0.15281,-0.0958,0.08629,0.18208
ARIMAX,INDIGO.NS,1,0.01418,-0.09955,0.12791,0.22746,-0.12133,0.1497,0.27103
ARIMAX,INDIGO.NS,3,0.01371,-0.09958,0.12699,0.22658,-0.12129,0.1487,0.26998
ARIMAX,INDIGO.NS,6,0.01363,-0.09922,0.12648,0.2257,-0.12084,0.14809,0.26893
ARIMAX,INDIGO.NS,12,0.01794,-0.09552,0.1314,0.22692,-0.11726,0.15314,0.27039
ARIMAX,JSWENERGY.NS,1,-0.03922,-0.19929,0.12084,0.32014,-0.22996,0.15151,0.38146
ARIMAX,JSWENERGY.NS,3,-0.04761,-0.20811,0.1129,0.321,-0.23886,0.14364,0.3825
ARIMAX,JSWENERGY.NS,6,-0.05746,-0.21867,0.10375,0.32242,-0.24956,0.13463,0.38419
ARIMAX,JSWENERGY.NS,12,-0.04638,-0.2092,0.11644,0.32564,-0.24039,0.14763,0.38803
ARIMAX,KPRMILL.NS,1,-0.0061,-0.08215,0.06996,0.15211,-0.09672,0.08453,0.18125
ARIMAX,KPRMILL.NS,3,-0.01722,-0.1091,0.07467,0.18377,-0.1267,0.09227,0.21897
ARIMAX,KPRMILL.NS,6,-0.01496,-0.1072,0.07728,0.18448,-0.12487,0.09495,0.21983
ARIMAX,KPRMILL.NS,12,-0.01384,-0.10835,0.08067,0.18903,-0.12646,0.09878,0.22524
ARIMAX,LTTS.NS,1,0.00715,-0.07662,0.09091,0.16752,-0.09266,0.10695,0.19961
ARIMAX,LTTS.NS,3,0.02063,-0.06324,0.10449,0.16773,-0.07931,0.12056,0.19987
ARIMAX,LTTS.NS,6,0.03798,-0.04599,0.12194,0.16793,-0.06208,0.13803,0.2001
ARIMAX,LTTS.NS,12,0.04826,-0.0355,0.13202,0.16753,-0.05155,0.14807,0.19962
ARIMAX,MARATHON.NS,1,-0.00228,-0.22727,0.22272,0.44999,-0.27037,0.26582,0.5362
ARIMAX,MARATHON.NS,3,0.00291,-0.22273,0.22854,0.45127,-0.26595,0.27177,0.53772
ARIMAX,MARATHON.NS,6,0.00717,-0.21933,0.23366,0.453,-0.26272,0.27706,0.53978
ARIMAX,MARATHON.NS,12,-0.00629,-0.23393,0.22134,0.45527,-0.27754,0.26495,0.54249
ARIMAX,SUDARSCHEM.NS,1,-0.02293,-0.09369,0.04782,0.14152,-0.10725,0.06138,0.16863
ARIMAX,SUDARSCHEM.NS,3,-0.02503,-0.09576,0.04569,0.14145,-0.10931,0.05924,0.16855
ARIMAX,SUDARSCHEM.NS,6,-0.03275,-0.10344,0.03794,0.14138,-0.11698,0.05148,0.16846
ARIMAX,SUDARSCHEM.NS,12,-0.06043,-0.13109,0.01023,0.14133,-0.14463,0.02377,0.1684
ARIMAX,SURYAROSNI.NS,1,-0.00474,-0.16214,0.15267,0.31481,-0.19229,0.18282,0.37512
ARIMAX,SURYAROSNI.NS,3,-0.00507,-0.16249,0.15235,0.31484,-0.19265,0.18251,0.37516
ARIMAX,SURYAROSNI.NS,6,-0.00567,-0.16307,0.15173,0.3148,-0.19323,0.18188,0.37511
ARIMAX,SURYAROSNI.NS,12,-0.00481,-0.16178,0.15216,0.31394,-0.19185,0.18223,0.37408
VARX,ABREL.NS,1,-0.04152,-0.23996,0.15692,0.39689,-0.27798,0.19494,0.47292
VARX,ABREL.NS,3,-0.05588,-0.27165,0.1599,0.43155,-0.31299,0.20123,0.51422
VARX,ABREL.NS,6,-0.00929,-0.24944,0.23087,0.48031,-0.29545,0.27688,0.57233
VARX,ABREL.NS,12,-0.00761,-0.27575,0.26052,0.53627,-0.32712,0.31189,0.63901
VARX,AEGISLOG.NS,1,0.04769,-0.08615,0.18154,0.26768,-0.11179,0.20718,0.31896
VARX,AEGISLOG.NS,3,0.03954,-0.10552,0.18461,0.29013,-0.13331,0.2124,0.34571
VARX,AEGISLOG.NS,6,0.04612,-0.09872,0.19096,0.28969,-0.12647,0.21871,0.34518
VARX,AEGISLOG.NS,12,0.0536,-0.09019,0.19738,0.28757,-0.11773,0.22492,0.34266
VARX,APOLLOHOSP.NS,1,0.02162,-0.11013,0.15337,0.2635,-0.13537,0.17861,0.31398
VARX,APOLLOHOSP.NS,3,0.02618,-0.12411,0.17646,0.30057,-0.1529,0.20525,0.35816
VARX,APOLLOHOSP.NS,6,0.02885,-0.12282,0.18053,0.30336,-0.15188,0.20959,0.36147
VARX,APOLLOHOSP.NS,12,0.02985,-0.12407,0.18378,0.30785,-0.15356,0.21326,0.36683
VARX,ASTERDM.NS,1,0.01018,-0.13448,0.15484,0.28933,-0.1622,0.18256,0.34475
VARX,ASTERDM.NS,3,0.01703,-0.1292,0.16325,0.29246,-0.15722,0.19127,0.34848
VARX,ASTERDM.NS,6,0.02186,-0.12537,0.1691,0.29447,-0.15358,0.19731,0.35089
VARX,ASTERDM.NS,12,0.01902,-0.12995,0.16799,0.29794,-0.15849,0.19653,0.35501
VARX,BANDHANBNK.NS,1,-0.03975,-0.20091,0.12141,0.32232,-0.23179,0.15229,0.38407
VARX,BANDHANBNK.NS,3,-0.04316,-0.2056,0.11928,0.32488,-0.23672,0.1504,0.38711
VARX,BANDHANBNK.NS,6,-0.04985,-0.2136,0.1139,0.3275,-0.24497,0.14527,0.39024
VARX,BANDHANBNK.NS,12,-0.04434,-0.21047,0.1218,0.33228,-0.2423,0.15363,0.39593
VARX,BHARTIARTL.NS,1,0.00695,-0.08683,0.10072,0.18755,-0.1048,0.11869,0.22348
VARX,BHARTIARTL.NS,3,-0.00672,-0.11433,0.10088,0.21521,-0.13494,0.1215,0.25644
VARX,BHARTIARTL.NS,6,0.00224,-0.10875,0.11324,0.22198,-0.13001,0.1345,0.26451
VARX,BHARTIARTL.NS,12,-0.00634,-0.12482,0.11214,0.23696,-0.14752,0.13484,0.28236
VARX,BIOCON.NS,1,-0.01093,-0.12309,0.10123,0.22432,-0.14458,0.12272,0.26729
VARX,BIOCON.NS,3,-0.00652,-0.12626,0.11322,0.23948,-0.1492,0.13616,0.28536
VARX,BIOCON.NS,6,-0.00301,-0.12341,0.11739,0.2408,-0.14648,0.14046,0.28694
VARX,BIOCON.NS,12,-0.00731,-0.12909,0.11447,0.24356,-0.15242,0.1378,0.29022
VARX,BSE.NS,1,0.08394,-0.07723,0.24512,0.32235,-0.10811,0.276,0.38411
VARX,BSE.NS,3,0.07955,-0.08428,0.24337,0.32764,-0.11566,0.27475,0.39041
VARX,BSE.NS,6,0.0798,-0.08381,0.24341,0.32722,-0.11516,0.27475,0.38991
VARX,BSE.NS,12,0.09066,-0.07227,0.25358,0.32585,-0.10348,0.28479,0.38827
VARX,CAMLINFINE.NS,1,0.0842,-0.10813,0.27652,0.38464,-0.14497,0.31336,0.45833
VARX,CAMLINFINE.NS,3,0.06698,-0.13337,0.26732,0.4007,-0.17176,0.30571,0.47746
VARX,CAMLINFINE.NS,6,0.07505,-0.12277,0.27286,0.39563,-0.16067,0.31076,0.47143
VARX,CAMLINFINE.NS,12,0.08171,-0.11096,0.27439,0.38536,-0.14788,0.3113,0.45918
VARX,EIDPARRY.NS,1,0.04629,-0.11357,0.20615,0.31972,-0.14419,0.23678,0.38097
VARX,EIDPARRY.NS,3,0.03681,-0.12915,0.20277,0.33192,-0.16095,0.23456,0.39551
VARX,EIDPARRY.NS,6,0.0419,-0.12457,0.20836,0.33293,-0.15646,0.24025,0.39671
