ticker,adf_stat,adf_pval,adf_stationary,kpss_stat,kpss_pval,kpss_stationary,za_stat,za_pval,za_stationary,za_break_date
HDFCBANK.NS,-10.722899510119188,3.117906348624738e-19,True,0.073293821179445,0.1,True,-11.01924663393338,1e-05,True,2020-05-31
BHARTIARTL.NS,-6.559411479640489,8.454914998526315e-09,True,0.07724020749666204,0.1,True,-7.023562901998346,1e-05,True,2023-08-31
APOLLOHOSP.NS,-12.398972489875455,4.606524480556268e-23,True,0.11869097682064679,0.1,True,-13.183736081077134,1e-05,True,2021-11-30
BIOCON.NS,-11.248597187989333,1.7345480429037137e-20,True,0.11742207145235665,0.1,True,-11.802951542197174,1e-05,True,2020-12-31
JSWENERGY.NS,-8.260416921477997,5.101244646723875e-13,True,0.10478206142648279,0.1,True,-8.948731160102225,1e-05,True,2020-05-31
SUDARSCHEM.NS,-8.780857741579082,2.3788673412391974e-14,True,0.08713730698550301,0.1,True,-9.414808483288242,1e-05,True,2023-02-28
AEGISLOG.NS,-9.931415341885762,2.816380383509505e-17,True,0.08997406322874404,0.1,True,-10.241097051947213,1e-05,True,2024-06-30
KPRMILL.NS,-10.26167497860638,4.220738724681839e-18,True,0.13819107885693518,0.1,True,-11.31560725705441,1e-05,True,2020-07-31
GREENLAM.NS,-11.219663585967998,2.028309645216875e-20,True,0.0845866661949607,0.1,True,-11.534079476026841,1e-05,True,2020-05-31
CAMLINFINE.NS,-9.471319205192053,4.0989522575129706e-16,True,0.08886286840292551,0.1,True,-9.696758802953367,1e-05,True,2020-04-30
SURYAROSNI.NS,-10.018383225965353,1.704696061955326e-17,True,0.07743671721287074,0.1,True,-11.149989927697536,1e-05,True,2020-03-31
EIDPARRY.NS,-7.171770451786099,2.7925278695663126e-10,True,0.0914691442249927,0.1,True,-7.883974665981238,1e-05,True,2020-03-31
BANDHANBNK.NS,-10.709868261077757,3.3532841888221645e-19,True,0.046285418462123744,0.1,True,-10.80862437874933,1e-05,True,2020-05-31
ABREL.NS,-9.50824926373014,3.302399007629083e-16,True,0.13227946561501003,0.1,True,-10.178393474805999,1e-05,True,2020-05-31
INDIGO.NS,-9.178900245376425,2.2801057443597623e-15,True,0.06332224995051366,0.1,True,-9.404149198386595,1e-05,True,2020-07-31
MARATHON.NS,-3.5414166406575758,0.006984998264120672,True,0.19429159527429748,0.1,True,-2.681480430713807,0.9704431628758095,False,2020-10-31
LTTS.NS,-9.446097681140753,4.751212476507092e-16,True,0.22890848272232237,0.1,True,-10.297652473036477,1e-05,True,2020-05-31
ASTERDM.NS,-6.355441085134835,2.54962705573679e-08,True,0.18870930782645845,0.1,True,-7.088612639001432,1e-05,True,2020-05-31
BSE.NS,-8.08031354931524,1.46742823101866e-12,True,0.21005922336131544,0.1,True,-8.519989108338931,1e-05,True,2020-03-31
