ticker,horizon,model,pw_weight
MARATHON.NS,12,VARX,0.4321
LTTS.NS,1,ARIMAX,0.4693
LTTS.NS,1,VARX,0.5307
LTTS.NS,3,ARIMAX,0.4832
LTTS.NS,3,VARX,0.5168
LTTS.NS,6,ARIMAX,0.4616
LTTS.NS,6,VARX,0.5384
LTTS.NS,12,ARIMAX,0.4492
LTTS.NS,12,VARX,0.5508
ASTERDM.NS,1,ARIMAX,0.5143
ASTERDM.NS,1,VARX,0.4857
ASTERDM.NS,3,ARIMAX,0.496
ASTERDM.NS,3,VARX,0.504
ASTERDM.NS,6,ARIMAX,0.4815
ASTERDM.NS,6,VARX,0.5185
ASTERDM.NS,12,ARIMAX,0.4976
ASTERDM.NS,12,VARX,0.5024
BSE.NS,1,ARIMAX,0.4826
BSE.NS,1,VARX,0.5174
BSE.NS,3,ARIMAX,0.5066
BSE.NS,3,VARX,0.4934
BSE.NS,6,ARIMAX,0.5171
BSE.NS,6,VARX,0.4829
BSE.NS,12,ARIMAX,0.4938
BSE.NS,12,VARX,0.5062
