model,ticker,horizon,DA,IC,IC_pval,RMSE,MAE,n_obs
VARX,KPRMILL.NS,3,0.6154,0.0194,0.9251,0.09123,0.074516,26
ARIMAX,KPRMILL.NS,6,0.3478,0.2368,0.2766,0.09069,0.077864,23
VARX,KPRMILL.NS,6,0.6522,0.3157,0.1422,0.087173,0.070359,23
ARIMAX,KPRMILL.NS,12,0.5294,-0.0237,0.9281,0.102505,0.087108,17
VARX,KPRMILL.NS,12,0.7059,-0.2243,0.3868,0.101239,0.083888,17
ARIMAX,GREENLAM.NS,1,0.5357,-0.1598,0.4167,0.100718,0.075568,28
VARX,GREENLAM.NS,1,0.5,-0.1508,0.4438,0.118655,0.093544,28
ARIMAX,GREENLAM.NS,3,0.5385,-0.2797,0.1664,0.097842,0.073485,26
VARX,GREENLAM.NS,3,0.5385,0.0979,0.6344,0.103435,0.081479,26
ARIMAX,GREENLAM.NS,6,0.4348,-0.0753,0.7327,0.099404,0.075005,23
VARX,GREENLAM.NS,6,0.4783,0.0502,0.8201,0.108309,0.087061,23
ARIMAX,GREENLAM.NS,12,0.5294,0.0132,0.96,0.10823,0.08233,17
VARX,GREENLAM.NS,12,0.5882,0.1627,0.5327,0.109817,0.083773,17
ARIMAX,CAMLINFINE.NS,1,0.5714,0.1797,0.3603,0.194056,0.16084,28
VARX,CAMLINFINE.NS,1,0.5357,0.1792,0.3615,0.192568,0.167465,28
ARIMAX,CAMLINFINE.NS,3,0.5769,0.2477,0.2224,0.185665,0.145434,26
VARX,CAMLINFINE.NS,3,0.5,0.1536,0.4537,0.183205,0.144008,26
ARIMAX,CAMLINFINE.NS,6,0.6087,0.3459,0.1059,0.179191,0.144902,23
VARX,CAMLINFINE.NS,6,0.6522,0.3616,0.09,0.171005,0.129708,23
ARIMAX,CAMLINFINE.NS,12,0.2941,-0.4308,0.0843,0.280893,0.244591,17
VARX,CAMLINFINE.NS,12,0.2941,-0.4355,0.0806,0.270106,0.233437,17
ARIMAX,SURYAROSNI.NS,1,0.5,0.0528,0.7897,0.135541,0.108568,28
VARX,SURYAROSNI.NS,1,0.4643,-0.1434,0.4666,0.151443,0.128736,28
ARIMAX,SURYAROSNI.NS,3,0.5,0.085,0.6798,0.12761,0.102377,26
VARX,SURYAROSNI.NS,3,0.5,-0.0984,0.6324,0.133808,0.107422,26
ARIMAX,SURYAROSNI.NS,6,0.4783,-0.1882,0.3899,0.135036,0.109921,23
VARX,SURYAROSNI.NS,6,0.5217,0.0732,0.7401,0.134539,0.11139,23
ARIMAX,SURYAROSNI.NS,12,0.4706,0.2594,0.3147,0.139334,0.113261,17
VARX,SURYAROSNI.NS,12,0.4118,-0.214,0.4094,0.152397,0.129254,17
ARIMAX,EIDPARRY.NS,1,0.5,-0.1124,0.569,0.106328,0.09027,28
VARX,EIDPARRY.NS,1,0.3929,-0.3324,0.0839,0.126856,0.107016,28
ARIMAX,EIDPARRY.NS,3,0.5,-0.0152,0.9411,0.101432,0.084262,26
VARX,EIDPARRY.NS,3,0.4231,-0.1257,0.5405,0.106631,0.08833,26
ARIMAX,EIDPARRY.NS,6,0.4348,0.2796,0.1963,0.096296,0.081533,23
VARX,EIDPARRY.NS,6,0.5217,0.357,0.0945,0.093178,0.078195,23
ARIMAX,EIDPARRY.NS,12,0.2353,-0.461,0.0625,0.126455,0.114777,17
VARX,EIDPARRY.NS,12,0.4118,-0.2909,0.2574,0.126811,0.114306,17
ARIMAX,BANDHANBNK.NS,1,0.5357,-0.0988,0.6169,0.11025,0.080143,28
VARX,BANDHANBNK.NS,1,0.3571,-0.3602,0.0597,0.132859,0.102212,28
ARIMAX,BANDHANBNK.NS,3,0.5385,0.0926,0.6526,0.109772,0.079099,26
VARX,BANDHANBNK.NS,3,0.4231,-0.0877,0.6702,0.119715,0.090085,26
ARIMAX,BANDHANBNK.NS,6,0.6522,0.1298,0.5551,0.11313,0.078835,23
VARX,BANDHANBNK.NS,6,0.4348,-0.0144,0.948,0.121007,0.087882,23
ARIMAX,BANDHANBNK.NS,12,0.4706,-0.214,0.4094,0.134827,0.095811,17
VARX,BANDHANBNK.NS,12,0.4706,-0.2285,0.3778,0.141512,0.108148,17
ARIMAX,ABREL.NS,1,0.5357,0.2208,0.2588,0.140956,0.113632,28
ARIMAX,ABREL.NS,3,0.5769,0.1557,0.4474,0.160121,0.125712,26
ARIMAX,ABREL.NS,6,0.3913,-0.1242,0.5724,0.181582,0.148279,23
ARIMAX,ABREL.NS,12,0.4118,0.1775,0.4954,0.196105,0.159546,17
ARIMAX,INDIGO.NS,1,0.6071,-0.0381,0.8474,0.087206,0.064675,28
VARX,INDIGO.NS,1,0.4643,-0.143,0.4678,0.102606,0.08235,28
ARIMAX,INDIGO.NS,3,0.6538,0.2696,0.1829,0.081568,0.058863,26
VARX,INDIGO.NS,3,0.6154,0.1464,0.4754,0.086899,0.065719,26
ARIMAX,INDIGO.NS,6,0.6957,0.3149,0.1433,0.085326,0.065186,23
VARX,INDIGO.NS,6,0.6957,0.3851,0.0696,0.082395,0.066526,23
ARIMAX,INDIGO.NS,12,0.4706,-0.2341,0.3659,0.093955,0.072637,17
VARX,INDIGO.NS,12,0.4706,-0.3379,0.1846,0.112137,0.093519,17
ARIMAX,MARATHON.NS,1,0.4643,-0.0901,0.6484,0.171182,0.131888,28
VARX,MARATHON.NS,1,0.5357,-0.2036,0.2987,0.21575,0.160043,28
ARIMAX,MARATHON.NS,3,0.4615,-0.0802,0.697,0.172549,0.13156,26
VARX,MARATHON.NS,3,0.5385,-0.193,0.3449,0.216307,0.153296,26
ARIMAX,MARATHON.NS,6,0.4348,-0.0652,0.7675,0.153595,0.12151,23
VARX,MARATHON.NS,6,0.5217,-0.0024,0.9912,0.185543,0.15076,23
ARIMAX,MARATHON.NS,12,0.3529,-0.2935,0.2528,0.168657,0.132602,17
VARX,MARATHON.NS,12,0.6471,-0.2952,0.25,0.227715,0.167869,17
ARIMAX,LTTS.NS,1,0.5,0.0018,0.9929,0.11541,0.08931,28
VARX,LTTS.NS,1,0.4643,-0.0466,0.8138,0.108134,0.084995,28
ARIMAX,LTTS.NS,3,0.5,0.1118,0.5866,0.101563,0.087001,26
VARX,LTTS.NS,3,0.5,0.0332,0.8722,0.093512,0.071381,26
ARIMAX,LTTS.NS,6,0.3913,0.0006,0.9978,0.103651,0.084808,23
VARX,LTTS.NS,6,0.3913,0.0483,0.8267,0.097209,0.078885,23
ARIMAX,LTTS.NS,12,0.3529,0.0615,0.8147,0.1089,0.089351,17
VARX,LTTS.NS,12,0.5294,-0.0606,0.8174,0.103084,0.077059,17
ARIMAX,ASTERDM.NS,1,0.5,-0.1196,0.5444,0.096049,0.076526,28
VARX,ASTERDM.NS,1,0.4643,-0.0623,0.7528,0.103698,0.084052,28
ARIMAX,ASTERDM.NS,3,0.5,-0.1308,0.5241,0.093773,0.075264,26
VARX,ASTERDM.NS,3,0.4231,-0.089,0.6656,0.096777,0.081109,26
ARIMAX,ASTERDM.NS,6,0.6522,0.3293,0.1249,0.0871,0.066905,23
VARX,ASTERDM.NS,6,0.6522,0.3425,0.1096,0.085068,0.066356,23
ARIMAX,ASTERDM.NS,12,0.5294,-0.0625,0.8117,0.098845,0.078777,17
VARX,ASTERDM.NS,12,0.5294,-0.0401,0.8785,0.103054,0.079427,17
ARIMAX,BSE.NS,1,0.5714,-0.0537,0.786,0.135864,0.108982,28
VARX,BSE.NS,1,0.5714,-0.0338,0.8644,0.133133,0.10597,28
ARIMAX,BSE.NS,3,0.5385,0.037,0.8576,0.136718,0.115347,26
VARX,BSE.NS,3,0.5385,0.0469,0.8199,0.131421,0.109077,26
ARIMAX,BSE.NS,6,0.6087,-0.0338,0.8784,0.138797,0.113048,23
VARX,BSE.NS,6,0.6087,0.0205,0.9259,0.133438,0.109801,23
ARIMAX,BSE.NS,12,0.5294,-0.132,0.6134,0.156293,0.132848,17
VARX,BSE.NS,12,0.5294,-0.136,0.6029,0.148672,0.128065,17
