ticker,weight
HDFCBANK.NS,0.05263157894736842
BHARTIARTL.NS,0.05263157894736842
APOLLOHOSP.NS,0.05263157894736842
BIOCON.NS,0.05263157894736842
JSWENERGY.NS,0.05263157894736842
SUDARSCHEM.NS,0.05263157894736842
AEGISLOG.NS,0.05263157894736842
KPRMILL.NS,0.05263157894736842
GREENLAM.NS,0.05263157894736842
CAMLINFINE.NS,0.05263157894736842
SURYAROSNI.NS,0.05263157894736842
EIDPARRY.NS,0.05263157894736842
BANDHANBNK.NS,0.05263157894736842
ABREL.NS,0.05263157894736842
INDIGO.NS,0.05263157894736842
MARATHON.NS,0.05263157894736842
LTTS.NS,0.05263157894736842
ASTERDM.NS,0.05263157894736842
BSE.NS,0.05263157894736842
